x_value,call,put,acao
2021-09-02 15:58:17,0.78,0.84,26.75
2021-09-02 15:58:20,0.78,0.84,26.75
2021-09-02 15:58:23,0.78,0.84,26.74
2021-09-02 15:58:26,0.78,0.84,26.74
2021-09-02 15:58:29,0.78,0.84,26.74
2021-09-02 15:58:32,0.78,0.84,26.74
2021-09-02 15:58:35,0.78,0.84,26.75
2021-09-02 15:58:38,0.78,0.84,26.75
2021-09-02 15:58:41,0.78,0.84,26.76
2021-09-02 15:58:44,0.78,0.84,26.75
2021-09-02 15:58:47,0.78,0.84,26.75
2021-09-02 15:58:50,0.78,0.84,26.75
2021-09-02 15:58:53,0.78,0.84,26.75
2021-09-02 15:58:56,0.78,0.84,26.76
2021-09-02 15:58:59,0.78,0.84,26.75
2021-09-02 15:59:02,0.78,0.84,26.75
2021-09-02 15:59:05,0.78,0.84,26.75
2021-09-02 15:59:08,0.78,0.84,26.76
2021-09-02 15:59:11,0.78,0.84,26.75
2021-09-02 15:59:14,0.78,0.84,26.75
2021-09-02 15:59:17,0.78,0.84,26.75
2021-09-02 15:59:20,0.78,0.84,26.75
2021-09-02 15:59:23,0.78,0.84,26.75
2021-09-02 15:59:26,0.78,0.84,26.76
2021-09-02 15:59:29,0.78,0.84,26.76
2021-09-02 15:59:32,0.78,0.84,26.75
2021-09-02 15:59:35,0.78,0.84,26.75
2021-09-02 15:59:38,0.78,0.84,26.75
2021-09-02 15:59:41,0.78,0.84,26.75
2021-09-02 15:59:44,0.78,0.84,26.75
2021-09-02 15:59:47,0.78,0.84,26.75
2021-09-02 15:59:50,0.78,0.84,26.75
2021-09-02 15:59:53,0.78,0.84,26.75
2021-09-02 15:59:56,0.78,0.84,26.76
2021-09-02 15:59:59,0.78,0.84,26.75
2021-09-02 16:00:02,0.78,0.84,26.75
2021-09-02 16:00:05,0.78,0.84,26.75
2021-09-02 16:00:08,0.78,0.84,26.75
2021-09-02 16:00:11,0.78,0.84,26.75
2021-09-02 16:00:14,0.79,0.84,26.75
2021-09-02 16:00:17,0.79,0.84,26.75
2021-09-02 16:00:20,0.79,0.84,26.75
2021-09-02 16:00:23,0.79,0.84,26.75
2021-09-02 16:00:26,0.79,0.84,26.75
2021-09-02 16:00:29,0.79,0.84,26.75
2021-09-02 16:00:32,0.79,0.84,26.75
2021-09-02 16:00:35,0.79,0.84,26.75
2021-09-02 16:00:38,0.79,0.84,26.75
2021-09-02 16:00:41,0.79,0.84,26.75
2021-09-02 16:00:44,0.79,0.84,26.76
2021-09-02 16:00:47,0.79,0.84,26.77
2021-09-02 16:00:50,0.79,0.84,26.77
2021-09-02 16:00:53,0.79,0.84,26.77
2021-09-02 16:00:56,0.8,0.84,26.79
2021-09-02 16:00:59,0.8,0.84,26.77
2021-09-02 16:01:02,0.8,0.84,26.79
2021-09-02 16:01:05,0.8,0.84,26.77
2021-09-02 16:01:08,0.8,0.84,26.76
2021-09-02 16:01:11,0.8,0.84,26.76
2021-09-02 16:01:14,0.8,0.84,26.76
2021-09-02 16:01:18,0.8,0.84,26.76
2021-09-02 16:01:21,0.79,0.84,26.76
2021-09-02 16:01:24,0.79,0.84,26.76
2021-09-02 16:01:27,0.79,0.84,26.76
2021-09-02 16:01:30,0.79,0.84,26.75
2021-09-02 16:01:33,0.79,0.84,26.75
2021-09-02 16:01:36,0.79,0.84,26.74
2021-09-02 16:01:39,0.79,0.84,26.74
2021-09-02 16:01:42,0.79,0.84,26.74
2021-09-02 16:01:45,0.79,0.84,26.74
2021-09-02 16:01:48,0.79,0.84,26.74
2021-09-02 16:01:51,0.79,0.84,26.74
2021-09-02 16:01:54,0.79,0.84,26.74
2021-09-02 16:01:57,0.79,0.84,26.74
2021-09-02 16:02:00,0.79,0.84,26.74
2021-09-02 16:02:03,0.79,0.84,26.74
2021-09-02 16:02:06,0.78,0.84,26.74
2021-09-02 16:02:09,0.78,0.84,26.74
2021-09-02 16:02:12,0.78,0.84,26.74
2021-09-02 16:02:15,0.78,0.84,26.74
2021-09-02 16:02:18,0.78,0.84,26.74
2021-09-02 16:02:21,0.78,0.84,26.75
2021-09-02 16:02:24,0.78,0.84,26.75
